user_id,format,target_country,persona,behavior,topic,mood
____________________________yj,공감/일상형,KR,"인물(운영자 본인)","팔로우 유도",반려동물,내추럴/따뜻
____________________________yj,공감/일상형,KR,"인물(운영자 본인)","팔로우 유도",뷰티(메이크업/헤어),내추럴/따뜻
____________________________yj,공감/일상형,KR,"인물(운영자 본인)","팔로우 유도",요리/레시피,내추럴/따뜻
____________________cintula,눈호강/무드형,KR,제품/아이템,"팔로우 유도",뷰티(메이크업/헤어),미니멀/클린
____________________omar,눈호강/무드형,US,장소/공간,"팔로우 유도",여행/휴양,감성/서정
____________________omar,눈호강/무드형,US,장소/공간,"팔로우 유도",여행/휴양,미니멀/클린
______________1231,공감/일상형,KR,"인물(운영자 본인)","팔로우 유도",맛집/푸드,러블리/큐트
______________1231,공감/일상형,KR,"인물(운영자 본인)","팔로우 유도",여행/휴양,러블리/큐트
______________1231,공감/일상형,KR,"인물(운영자 본인)","팔로우 유도",커플/연애/결혼,러블리/큐트
______________1231,공감/일상형,KR,"인물(운영자 본인)","팔로우 유도",맛집/푸드,화사/밝음
______________1231,공감/일상형,KR,"인물(운영자 본인)","팔로우 유도",여행/휴양,화사/밝음
______________1231,공감/일상형,KR,"인물(운영자 본인)","팔로우 유도",커플/연애/결혼,화사/밝음
______________riizeluv,눈호강/무드형,KR,인물(타인/셀럽),"팔로우 유도",게임/덕질/취미,러블리/큐트
______________riizeluv,눈호강/무드형,KR,인물(타인/셀럽),"팔로우 유도",엔터/아이돌/연예,러블리/큐트
______________riizeluv,눈호강/무드형,KR,인물(타인/셀럽),"팔로우 유도",게임/덕질/취미,화사/밝음
______________riizeluv,눈호강/무드형,KR,인물(타인/셀럽),"팔로우 유도",엔터/아이돌/연예,화사/밝음
_____________choi__________,눈호강/무드형,KR,"인물(운영자 본인)","팔로우 유도",운동/피트니스,내추럴/따뜻
_____________yu_,눈호강/무드형,TW,장소/공간,"방문/예약 유도",리빙/인테리어,내추럴/따뜻
_____________yu_,눈호강/무드형,TW,장소/공간,"방문/예약 유도",리빙/인테리어,미니멀/클린
____________.sun,눈호강/무드형,KR,제품/아이템,"방문/예약 유도",리빙/인테리어,내추럴/따뜻
____________.sun,눈호강/무드형,KR,제품/아이템,"방문/예약 유도",아트/창작(그림·웹툰·공예),내추럴/따뜻
____________.sun,눈호강/무드형,KR,제품/아이템,"방문/예약 유도",리빙/인테리어,화사/밝음
____________.sun,눈호강/무드형,KR,제품/아이템,"방문/예약 유도",아트/창작(그림·웹툰·공예),화사/밝음
____________bini,꿀팁/리뷰형,KR,제품/아이템,"구매/문의 유도",맛집/푸드,내추럴/따뜻
____________with,공감/일상형,KR,음식,"팔로우 유도",맛집/푸드,내추럴/따뜻
___________0702__,눈호강/무드형,KR,인물(타인/셀럽),"팔로우 유도",스포츠(종목),강렬/자극
___________0702__,눈호강/무드형,KR,인물(타인/셀럽),"팔로우 유도",엔터/아이돌/연예,강렬/자극
___________0702__,눈호강/무드형,KR,인물(타인/셀럽),"팔로우 유도",스포츠(종목),화사/밝음
___________0702__,눈호강/무드형,KR,인물(타인/셀럽),"팔로우 유도",엔터/아이돌/연예,화사/밝음
___________hoon____________,공감/일상형,KR,"인물(운영자 본인)","공유 유도",맛집/푸드,내추럴/따뜻
___________hoon____________,공감/일상형,KR,"인물(운영자 본인)","공유 유도",여행/휴양,내추럴/따뜻
___________i_,공감/일상형,JP,"인물(운영자 본인)","팔로우 유도",게임/덕질/취미,내추럴/따뜻
___________i_,공감/일상형,JP,"인물(운영자 본인)","팔로우 유도",맛집/푸드,내추럴/따뜻
___________i_,공감/일상형,JP,"인물(운영자 본인)","팔로우 유도",엔터/아이돌/연예,내추럴/따뜻
___________jh____pp,공감/일상형,KR,음식,"구매/문의 유도",맛집/푸드,내추럴/따뜻
___________jh____pp,공감/일상형,KR,음식,"구매/문의 유도",요리/레시피,내추럴/따뜻
___________nam,눈호강/무드형,KR,"인물(운영자 본인)","팔로우 유도",스포츠(종목),감성/서정
___________nam,눈호강/무드형,KR,"인물(운영자 본인)","팔로우 유도",여행/휴양,감성/서정
___________nam,눈호강/무드형,KR,"인물(운영자 본인)","팔로우 유도",스포츠(종목),내추럴/따뜻
___________nam,눈호강/무드형,KR,"인물(운영자 본인)","팔로우 유도",여행/휴양,내추럴/따뜻
__________.s2._,공감/일상형,KR,가족/아이(육아),"구매/문의 유도",뷰티(메이크업/헤어),내추럴/따뜻
__________.s2._,공감/일상형,KR,가족/아이(육아),"구매/문의 유도",육아/키즈,내추럴/따뜻
__________.s2._,공감/일상형,KR,가족/아이(육아),"구매/문의 유도",뷰티(메이크업/헤어),러블리/큐트
__________.s2._,공감/일상형,KR,가족/아이(육아),"구매/문의 유도",육아/키즈,러블리/큐트
__________4k___________,눈호강/무드형,KR,장소/공간,"팔로우 유도",아트/창작(그림·웹툰·공예),힙/스트릿
__________88__01,공감/일상형,KR,"인물(운영자 본인)","팔로우 유도",맛집/푸드,내추럴/따뜻
__________88__01,공감/일상형,KR,"인물(운영자 본인)","팔로우 유도",여행/휴양,내추럴/따뜻
__________cherish,눈호강/무드형,US,"인물(운영자 본인)","팔로우 유도",아트/창작(그림·웹툰·공예),화사/밝음
__________emamul,눈호강/무드형,IN,"인물(운영자 본인)","팔로우 유도",여행/휴양,화사/밝음
__________goooori_jh,눈호강/무드형,KR,"인물(운영자 본인)","팔로우 유도",운동/피트니스,내추럴/따뜻
__________min,공감/일상형,KR,반려동물,"팔로우 유도",반려동물,내추럴/따뜻
__________min,공감/일상형,KR,반려동물,"팔로우 유도",반려동물,러블리/큐트
__________ns____________,공감/일상형,IN,반려동물,"팔로우 유도",반려동물,내추럴/따뜻
__________reika,눈호강/무드형,JP,"인물(운영자 본인)","팔로우 유도",뷰티(메이크업/헤어),관능/섹시(스타일)
