from_app,to_app,weight,sources,imports_count,shared_tables_count,cron_count,import_samples,shared_tables,cron_samples
creators_insights,youtube,51,IMPORTS,17,0,0,creators_insights/utils.py::youtube.utils.CATEGORIES | creators_insights/utils.py::youtube.utils.VIDEO_CATEGORIES | creators_insights/utils.py::youtube.utils.creator_listup_filters,,
express,user,45,IMPORTS,15,0,0,express/consumers.py::user.models.User | express/middlewares.py::user.models.User | express/permissions.py::user.models.User,,
amore,oliveyoung,27,IMPORTS,9,0,0,amore/utils.py::oliveyoung.models.OliveYoungProductVideo | amore/utils.py::oliveyoung.models.OliveYoungVideoList | amore/utils.py::oliveyoung.models.OliveYoungProductInfo,,
instagram,user,27,IMPORTS,9,0,0,instagram/views_ranking_v2.py::user.models.User | instagram/views_ranking_access.py::user.models.User | instagram/utils.py::user.models.LinkedUser,,
express,brand,26,IMPORTS|SHARED_TABLE,8,1,0,express/consumers.py::brand.models.BrandLogo | express/views/studio_channel_views.py::brand.models.Brand | express/views/studio_channel_views.py::brand.models.BrandLogo,brand,
amore,youtube,24,IMPORTS,8,0,0,amore/utils.py::youtube.models.YTUSers | amore/utils.py::youtube.models.YTUsersStat | amore/utils.py::youtube.models.YTVideoLists,,
instagram,ugwanggiAPI,21,IMPORTS,7,0,0,instagram/views_ranking_v2.py::ugwanggiAPI.permissions.IsPremiumInstagram | instagram/views_ranking_v2.py::ugwanggiAPI.permissions.IsTeamInstagram | instagram/views_ranking_access.py::ugwanggiAPI.permissions.IsPremiumInstagram,,
express,youtube,20,IMPORTS|SHARED_TABLE,6,1,0,express/views/studio_channel_views.py::youtube.models.YTUsersStat | express/views/studio_channel_views.py::youtube.models.YTUSers | express/views/ad_slot_views.py::youtube.models.YTUsersStat,youtuber_stats,
partner,youtube,20,IMPORTS|CRON,6,0,1,partner/cron.py::youtube.models.* | partner/cron.py::youtube.utils.YOUTUBE_API_KEYS | partner/serializers.py::youtube.serializers.YTVideoListsWithChannelSerializer,,partner/cron.py::YT_video_lists
user,subscribe,20,IMPORTS|CRON,6,0,1,user/cron.py::subscribe.models.* | user/cron.py::subscribe.utils.giveChannelTicket | user/cron.py::subscribe.utils.giveCredits,,user/cron.py::ugwanggi_subscription
oliveyoung,brand,19,IMPORTS|CRON,5,0,2,oliveyoung/cron.py::brand.models.OliveYoungBrand | oliveyoung/views.py::brand.models.BrandLogo | oliveyoung/views.py::brand.models.OliveYoungBrand,,oliveyoung/cron.py::brand | oliveyoung/cron.py::oliveyoung_brand
search,brand,19,IMPORTS|SHARED_TABLE,5,2,0,search/utils.py::brand.models.Brand | search/utils.py::brand.models.BrandLogo | search/views.py::brand.serializers.BrandSerializer,brand | brand_logo,
ugwanggiAPI,subscribe,19,IMPORTS|CRON,5,0,2,ugwanggiAPI/cron.py::subscribe.models.Subscription | ugwanggiAPI/cron.py::subscribe.models.PaymentHistory | ugwanggiAPI/cron.py::subscribe.serializers.*,,ugwanggiAPI/cron.py::ugwanggi_bundle | ugwanggiAPI/cron.py::ugwanggi_subscription
amore,brand,18,IMPORTS,6,0,0,amore/utils.py::brand.models.Brand | amore/utils.py::brand.models.BrandLogo | amore/views.py::brand.models.Brand,,
