id,analysis_date,cluster_id,cluster_name,sub_keyword,created_at,updated_at,id.1,cluster_id.1,analysis_date.1,topic_total_post_count,topic_total_dm_count,cluster_name.1,topic,cluster_post_share,cluster_dm_share,dm_per_views,dm_per_likes,cluster_post_count,cluster_dm_send_count,cluster_views,cluster_likes,cluster_name_reason,top1_post_id,top2_post_id,top3_post_id,created_at.1,updated_at.1
2757,2026-05-15,1,포켓몬 콜라보,포켓몬,2026-05-15 18:07:05,2026-05-15 18:07:05,1271,운동/피트니스_30,2026-05-18,859,191602,근력운동,운동/피트니스,0.0256111757857974,0.0090865439817955,0.0040467385518672,0.2695046439628483,22,1741,430223,6460,유산소 중심에서 근력 중심으로 운동 패러다임이 이동한 2026년 헬스 핵심 트렌드,DYQ_SiQpCKd,DYT4ro8zd8S,DYLrYR_veMo,2026-05-18 10:56:03,2026-05-18 10:56:03
2757,2026-05-15,1,포켓몬 콜라보,포켓몬,2026-05-15 18:07:05,2026-05-15 18:07:05,1270,운동/피트니스_29,2026-05-18,859,191602,스트레칭 루틴,운동/피트니스,0.0372526193247962,0.0209548960866796,0.0050940205207192,0.3787378549193472,32,4015,788179,10601,부상 예방과 회복 관심 증대로 2026년 운동 전후 필수 루틴으로 강조되는 피트니스 트렌드,DYUNsNBz7R-,DYPT8MGxkFp,DYPNkJ4pF1z,2026-05-18 10:56:03,2026-05-18 10:56:03
2757,2026-05-15,1,포켓몬 콜라보,포켓몬,2026-05-15 18:07:05,2026-05-15 18:07:05,1269,운동/피트니스_28,2026-05-18,859,191602,체형교정,운동/피트니스,0.0384167636786961,0.1055416958069331,0.0089791351221743,0.9617158890949732,33,20222,2252110,21027,필라테스·도수치료와 결합해 2026년 헬스케어 시장의 주요 키워드로 성장한 웰니스 트렌드,DYUP4h4P1Bd,DYWYQneJGhX,DYQ6XySJId4,2026-05-18 10:56:03,2026-05-18 10:56:03
2757,2026-05-15,1,포켓몬 콜라보,포켓몬,2026-05-15 18:07:05,2026-05-15 18:07:05,1268,운동/피트니스_27,2026-05-18,859,191602,승모근 관리,운동/피트니스,0.009313154831199,0.0130844145676976,0.0066071052076744,0.6362944162436548,8,2507,379440,3940,거북목·승모근 비대 고민이 SNS에서 화제가 되며 2026년 관리 콘텐츠가 급증한 미용 트렌드,DYUlopKSApq,DYO-U0SvN25,DYWZACDSwQC,2026-05-18 10:56:03,2026-05-18 10:56:03
2757,2026-05-15,1,포켓몬 콜라보,포켓몬,2026-05-15 18:07:05,2026-05-15 18:07:05,1267,운동/피트니스_26,2026-05-18,859,191602,어깨운동,운동/피트니스,0.0139697322467986,0.0055688353983778,0.004753207412687,0.4278267842822774,12,1067,224480,2494,역삼각형 상체와 일자어깨 라인을 위한 운동으로 2026년 남녀 모두 인기 급상승한 부위 운동,DYPTvcezTqO,DYOrb-0xDm0,DYO_393vVmR,2026-05-18 10:56:03,2026-05-18 10:56:03
2757,2026-05-15,1,포켓몬 콜라보,포켓몬,2026-05-15 18:07:05,2026-05-15 18:07:05,1266,운동/피트니스_25,2026-05-18,859,191602,하체운동,운동/피트니스,0.0139697322467986,0.0107044811640797,0.0142521611029268,0.2323026390304677,12,2051,143908,8829,기초대사량 향상과 라인 정리를 목표로 2026년 헬스 입문자 필수 루틴으로 자리잡은 운동 트렌드,DYWeG0CB1H6,DYWynnwzvIg,DYUBGO2SgEG,2026-05-18 10:56:03,2026-05-18 10:56:03
2757,2026-05-15,1,포켓몬 콜라보,포켓몬,2026-05-15 18:07:05,2026-05-15 18:07:05,1265,운동/피트니스_24,2026-05-18,859,191602,힙업 운동,운동/피트니스,0.0104772991850989,0.0107044811640797,0.0091566996593582,0.5981335666375036,9,2051,223989,3429,애플힙 열풍이 2026년에도 이어지며 여성 하체 운동의 핵심 키워드로 유지되는 보디 트렌드,DYUWbP2RD7v,DYOvAg2vDkF,DYUE41fz4B-,2026-05-18 10:56:03,2026-05-18 10:56:03
2757,2026-05-15,1,포켓몬 콜라보,포켓몬,2026-05-15 18:07:05,2026-05-15 18:07:05,1264,운동/피트니스_23,2026-05-18,859,191602,스쿼트,운동/피트니스,0.0209545983701979,0.0162785357146585,0.0053372531370693,0.3984923981091094,18,3119,584383,7827,하체·힙업 운동 대표 종목으로 2026년에도 SNS 챌린지 콘텐츠로 꾸준히 소비되는 운동 트렌드,DYWuKnSpVPy,DYUA0qQCPMd,DYLyPcZpJ9N,2026-05-18 10:56:03,2026-05-18 10:56:03
2757,2026-05-15,1,포켓몬 콜라보,포켓몬,2026-05-15 18:07:05,2026-05-15 18:07:05,1263,운동/피트니스_22,2026-05-18,859,191602,칼로리 계산,운동/피트니스,0.0186263096623981,0.0207200342376384,0.0034297611694016,0.7499055534567435,16,3970,1157515,5294,AI 칼로리 트래킹 앱 확산으로 2026년 정량 기반 식단 관리가 일반화된 다이어트 트렌드,DYUg5WRJtxR,DYTR8V1zWqo,DYTInLSviet,2026-05-18 10:56:03,2026-05-18 10:56:03
2757,2026-05-15,1,포켓몬 콜라보,포켓몬,2026-05-15 18:07:05,2026-05-15 18:07:05,1262,운동/피트니스_21,2026-05-18,859,191602,다이어트 꿀팁,운동/피트니스,0.0256111757857974,0.026429786745441,0.00096442134624,0.1996451803666469,22,5064,5250817,25365,감량 후 유지에 초점을 둔 콘텐츠가 2026년 SNS 다이어트 시장의 새로운 주류로 부상한 트렌드,DYOOJIcT29E,DYTd16jSNon,DYQ3mSDS9SZ,2026-05-18 10:56:03,2026-05-18 10:56:03
2757,2026-05-15,1,포켓몬 콜라보,포켓몬,2026-05-15 18:07:05,2026-05-15 18:07:05,1261,운동/피트니스_20,2026-05-18,859,191602,고단백 저탄수 식단,운동/피트니스,0.0151338766006984,0.0013361029634346,0.0017927673044062,0.1517486662714878,13,256,142796,1687,저속노화·단백질 트렌드가 결합해 2026년 다이어터의 표준 식단 공식으로 자리잡은 식이 트렌드,DYM6FhjPAkU,DYNCOSxSPz3,DYRspNUPUwz,2026-05-18 10:56:03,2026-05-18 10:56:03
2757,2026-05-15,1,포켓몬 콜라보,포켓몬,2026-05-15 18:07:05,2026-05-15 18:07:05,1260,운동/피트니스_19,2026-05-18,859,191602,닭가슴살,운동/피트니스,0.0151338766006984,0.0077817559315664,0.0029477821448624,0.5904950495049505,13,1491,505804,2525,가공식품화·간편식으로 진화하며 2026년에도 다이어터 필수 식품으로 유지되는 식단 트렌드,DYR6UfKR9O4,DYTTxa9TYem,DYM4_NRSSPO,2026-05-18 10:56:03,2026-05-18 10:56:03
2757,2026-05-15,1,포켓몬 콜라보,포켓몬,2026-05-15 18:07:05,2026-05-15 18:07:05,1259,운동/피트니스_18,2026-05-18,859,191602,단백질 쉐이크,운동/피트니스,0.0488940628637951,0.016184590975042,0.0015862817576063,0.0808415235016554,42,3101,1954886,38359,고단백 식단의 일상화로 2026년 프로틴 음료·식품 시장이 폭발적으로 성장한 식단 트렌드,DYQ1qoSBS8I,DYPOOI-JZk2,DYRne5fz5eQ,2026-05-18 10:56:03,2026-05-18 10:56:03
2757,2026-05-15,1,포켓몬 콜라보,포켓몬,2026-05-15 18:07:05,2026-05-15 18:07:05,1258,운동/피트니스_17,2026-05-18,859,191602,보디빌딩,운동/피트니스,0.0279394644935972,0.0807455037003789,0.0058195565084917,0.6293885521337619,24,15471,2658450,24581,근육 미용에 대한 관심 확산과 머슬마니아 대중화로 2026년 일반인 보디빌딩 입문이 늘어난 트렌드,DYPFbA_SHGu,DYKfEYWRyhv,DYTSDFXy8tQ,2026-05-18 10:56:03,2026-05-18 10:56:03
2757,2026-05-15,1,포켓몬 콜라보,포켓몬,2026-05-15 18:07:05,2026-05-15 18:07:05,1257,운동/피트니스_16,2026-05-18,859,191602,맥스컷 다이어트,운동/피트니스,0.0128055878928987,0.0052400288097201,0.0019169780483101,0.1861672538475802,11,1004,523741,5393,보디빌딩식 단기 체지방 감량 프로그램이 2026년 다이어터 사이에서 화제가 된 신흥 트렌드,DYR4qoZhkHc,DYLnMUQzEzq,DYMZ3mdvVRQ,2026-05-18 10:56:03,2026-05-18 10:56:03
2757,2026-05-15,1,포켓몬 콜라보,포켓몬,2026-05-15 18:07:05,2026-05-15 18:07:05,1256,운동/피트니스_15,2026-05-18,859,191602,홈트레이닝,운동/피트니스,0.0058207217694994,0.0096449932672936,0.0120372843157051,0.489018258798624,5,1848,153523,3779,팬데믹 이후 정착된 홈트 문화가 2026년에도 입문자 중심 콘텐츠로 꾸준히 소비되는 트렌드,DYUZLQHxK31,DYUw7dgvyKf,DYOwWVevz2h,2026-05-18 10:56:03,2026-05-18 10:56:03
2757,2026-05-15,1,포켓몬 콜라보,포켓몬,2026-05-15 18:07:05,2026-05-15 18:07:05,1255,운동/피트니스_14,2026-05-18,859,191602,ufc,운동/피트니스,0.0081490104772991,0.0133558104821452,0.003272407809277,0.3554660369495763,7,2559,781993,7199,한국 선수 활약과 OTT 중계 확대로 2026년 격투기 시청·참여 인구가 동시에 증가한 트렌드,DYUDHy5QN2J,DYPD8gTOZE1,DYRnwdfO91p,2026-05-18 10:56:03,2026-05-18 10:56:03
2757,2026-05-15,1,포켓몬 콜라보,포켓몬,2026-05-15 18:07:05,2026-05-15 18:07:05,1254,운동/피트니스_13,2026-05-18,859,191602,태권도,운동/피트니스,0.0209545983701979,0.0121397480193317,0.0030713974462241,0.1478515128400712,18,2326,757310,15732,성인 다이어트·호신 운동으로 재조명되며 2026년 키즈와 성인 양쪽에서 부활한 한국형 무도 트렌드,DYUXK-rSOWa,DYPWBlEzASA,DYPb6awhos1,2026-05-18 10:56:03,2026-05-18 10:56:03
