table,usage,confidence,direct_hits,indirect_hits,mention_hits,sample_files,usage_refined,confidence_refined,note
Category_Master,DIRECT,HIGH,1,0,1,youtube/models.py,DIRECT,HIGH,
SequelizeMeta,UNUSED,MED,0,0,0,,EXTERNAL_ETL,HIGH,known external pipeline table
YT_ads_yn,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_brand_bumper_cost_per_day,DIRECT,HIGH,1,0,1,brand/models.py,DIRECT,HIGH,
YT_brand_bumper_cost_per_day_old,UNUSED,HIGH,0,0,0,,ARCHIVE_SUFFIX,HIGH,name suffix indicates archive/backup/test
YT_brand_video_trend,DIRECT,HIGH,1,0,1,ads/models.py,DIRECT,HIGH,
YT_bumper_ad,DIRECT,HIGH,3,1,34,ads/models.py | brand/views.py | search/utils.py,DIRECT,HIGH,
YT_bumper_ad_analized,DIRECT,HIGH,3,0,7,ads/models.py | ads/views.py,DIRECT,HIGH,
YT_bumper_ad_global,DIRECT,HIGH,1,0,1,ads/models.py,DIRECT,HIGH,
YT_bumper_cost_per_day,DIRECT,HIGH,1,0,1,ads/models.py,DIRECT,HIGH,
YT_bumper_cost_per_week,DIRECT,HIGH,1,0,1,ads/models.py,DIRECT,HIGH,
YT_bumper_cpm_by_industry,DIRECT,HIGH,1,0,1,ads/models.py,DIRECT,HIGH,
YT_bumper_crawl_video_list,DIRECT,HIGH,1,0,1,ads/models.py,DIRECT,HIGH,
YT_bumper_crawl_waiting_list,DIRECT,HIGH,1,0,1,ads/models.py,DIRECT,HIGH,
YT_bumper_on_off,DIRECT,HIGH,1,0,1,ads/models.py,DIRECT,HIGH,
YT_bumper_scene,DIRECT,HIGH,1,0,1,ads/models.py,DIRECT,HIGH,
YT_bumper_video_trend,DIRECT,HIGH,3,0,4,ads/models.py | ads/views.py | brand/views.py,DIRECT,HIGH,
YT_campaign_video,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_campaign_video_result,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_channel_cate,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_channel_cate_game,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_channel_cost,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_channel_gender_ratio,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_channel_language_count,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_comment,DIRECT,HIGH,1,0,1,youtube/models.py,DIRECT,HIGH,
YT_comment_analysis,DIRECT,HIGH,1,0,1,youtube/models.py,DIRECT,HIGH,
YT_comment_scraped_test,UNUSED,HIGH,0,0,0,,ARCHIVE_SUFFIX,HIGH,name suffix indicates archive/backup/test
YT_comment_task_log,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_contact_management,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_country_info,DIRECT,HIGH,1,0,1,youtube/models.py,DIRECT,HIGH,
YT_crawl_channel_list,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_crawl_video_list,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_en_video_lists,DIRECT,HIGH,1,0,1,youtube/models.py,DIRECT,HIGH,
YT_hifen_score,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_missing_channel,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_processed_channels,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_processed_keywords,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_product_info,DIRECT,HIGH,1,0,1,youtube_shopping/models.py,DIRECT,HIGH,
YT_product_video,DIRECT,HIGH,1,0,1,youtube_shopping/models.py,DIRECT,HIGH,
YT_product_video_temp,UNUSED,HIGH,0,0,0,,ARCHIVE_SUFFIX,HIGH,name suffix indicates archive/backup/test
YT_searched_history,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_shopping_top_product,DIRECT,HIGH,1,0,1,youtube_shopping/models.py,DIRECT,HIGH,
YT_shopping_top_product_video,DIRECT,HIGH,1,0,1,youtube_shopping/models.py,DIRECT,HIGH,
YT_shorts_view_trend,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_sub_view_trend,DIRECT,HIGH,1,0,1,youtube/models.py,DIRECT,HIGH,
YT_sub_view_trend_latest,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_subscribers_growth_trend,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_tag_centrality,DIRECT,HIGH,1,0,1,youtube/models.py,DIRECT,HIGH,
YT_temporary_lists,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_temporary_lists_detail,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_topic_centrality,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_topic_centrality_global,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_topic_difficulty,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_topic_global,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_type_cate,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_ugwanggi_rising_star,DIRECT,HIGH,1,0,1,trends/models.py,DIRECT,HIGH,
YT_ugwanggi_shorts_trending,DIRECT,HIGH,1,0,3,trends/models.py | trends/utils.py | trends/views.py,DIRECT,HIGH,
YT_ugwanggi_trending_insight_daily_action,DIRECT,HIGH,1,0,1,trends/models.py,DIRECT,HIGH,
YT_ugwanggi_trending_insight_daily_category_and_format,DIRECT,HIGH,1,0,1,trends/models.py,DIRECT,HIGH,
YT_ugwanggi_trending_insight_daily_chance,DIRECT,HIGH,1,0,1,trends/models.py,DIRECT,HIGH,
YT_ugwanggi_trending_insight_daily_chance_and_risk_title,DIRECT,HIGH,1,0,1,trends/models.py,DIRECT,HIGH,
YT_ugwanggi_trending_insight_daily_risk,DIRECT,HIGH,1,0,1,trends/models.py,DIRECT,HIGH,
YT_ugwanggi_trending_insight_daily_summary,DIRECT,HIGH,1,0,1,trends/models.py,DIRECT,HIGH,
YT_ugwanggi_trending_keyword,DIRECT,HIGH,1,0,1,trends/models.py,DIRECT,HIGH,
YT_ugwanggi_trending_keyword_video_ids,DIRECT,HIGH,1,0,1,trends/models.py,DIRECT,HIGH,
YT_ugwanggi_trending_sub_keyword,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_ugwanggi_video_trending,DIRECT,HIGH,1,0,3,trends/models.py | trends/utils.py | trends/views.py,DIRECT,HIGH,
YT_video_cate,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_video_category_class,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_video_category_class_game,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_video_category_class_game_global,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_video_category_class_global,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_video_comments,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_video_content_class_category_map,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_video_content_class_temp_video,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_video_content_class_track,DIRECT,HIGH,1,0,5,youtube/models.py | trends/utils.py | trends/views.py,DIRECT,HIGH,
YT_video_crawling_waiting,DIRECT,HIGH,1,0,1,youtube/models.py,DIRECT,HIGH,
YT_video_format,DIRECT,HIGH,1,0,1,youtube/models.py,DIRECT,HIGH,
YT_video_lists,DIRECT,HIGH,7,0,51,ugwanggiAPI/cron.py | youtube/models.py | youtube/views.py,DIRECT,HIGH,
YT_video_lists_cate,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_video_lists_detail,DIRECT,HIGH,1,0,3,youtube/models.py | trends/utils.py,DIRECT,HIGH,
YT_video_lists_global,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_video_lists_global_ads,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_video_lists_partitioned,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_video_members,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_video_tag,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_video_trending,DIRECT,HIGH,1,0,1,youtube/models.py,DIRECT,HIGH,
YT_video_trending_class,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
YT_video_trending_duration,DIRECT,HIGH,1,0,1,youtube/models.py,DIRECT,HIGH,
YT_video_trending_sub,DIRECT,HIGH,1,0,1,youtube/models.py,DIRECT,HIGH,
YT_video_trending_test,UNUSED,HIGH,0,0,0,,ARCHIVE_SUFFIX,HIGH,name suffix indicates archive/backup/test
YT_video_view_trend,DIRECT,HIGH,1,0,1,youtube/models.py,DIRECT,HIGH,
YT_video_view_trend_2022,UNUSED,HIGH,0,0,0,,ARCHIVE_SUFFIX,HIGH,name suffix indicates archive/backup/test
ages,AMBIGUOUS,LOW,0,0,11,creators_insights/filter_pipeline.py | youtube/utils.py,NOT_A_DB_REF,HIGH,generic word; all mentions appear outside DB context
ages_history,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
appointment,DIRECT,HIGH,1,0,2,admin/models.py | admin/urls.py,DIRECT,HIGH,
auth_group,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
auth_group_permissions,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
auth_permission,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
auth_user,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
auth_user_groups,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
auth_user_user_permissions,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
big_topic,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
brand,DIRECT,HIGH,61,0,1099,ads/system-scene-detection.txt | ads/models.py | ads/system.txt,DIRECT,HIGH,
brand_banner,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
brand_channel_to_filter,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
