table,usage_final,subcategory,confidence_final,direct_hits,indirect_hits,mention_hits,sample_files,note
Category_Master,USED,DIRECT,HIGH,1,0,1,youtube/models.py,
SequelizeMeta,UNUSED,EXTERNAL_ETL,HIGH,0,0,0,,known external pipeline table
YT_ads_yn,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch
YT_brand_bumper_cost_per_day,USED,DIRECT,HIGH,1,0,1,brand/models.py,
YT_brand_bumper_cost_per_day_old,UNUSED,ARCHIVE_SUFFIX,HIGH,0,0,0,,name suffix indicates archive/backup/test
YT_brand_video_trend,USED,DIRECT,HIGH,1,0,1,ads/models.py,
YT_bumper_ad,USED,DIRECT,HIGH,3,1,34,ads/models.py | brand/views.py | search/utils.py,
YT_bumper_ad_analized,USED,DIRECT,HIGH,3,0,7,ads/models.py | ads/views.py,
YT_bumper_ad_global,USED,DIRECT,HIGH,1,0,1,ads/models.py,
YT_bumper_cost_per_day,USED,DIRECT,HIGH,1,0,1,ads/models.py,
YT_bumper_cost_per_week,USED,DIRECT,HIGH,1,0,1,ads/models.py,
YT_bumper_cpm_by_industry,USED,DIRECT,HIGH,1,0,1,ads/models.py,
YT_bumper_crawl_video_list,USED,DIRECT,HIGH,1,0,1,ads/models.py,
YT_bumper_crawl_waiting_list,USED,DIRECT,HIGH,1,0,1,ads/models.py,
YT_bumper_on_off,USED,DIRECT,HIGH,1,0,1,ads/models.py,
YT_bumper_scene,USED,DIRECT,HIGH,1,0,1,ads/models.py,
YT_bumper_video_trend,USED,DIRECT,HIGH,3,0,4,ads/models.py | ads/views.py | brand/views.py,
YT_campaign_video,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch
YT_campaign_video_result,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch
YT_channel_cate,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch
YT_channel_cate_game,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch
YT_channel_cost,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch
YT_channel_gender_ratio,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch
