table,usage_final,subcategory,confidence_final,direct_hits,indirect_hits,mention_hits,sample_files,note,boosted_usage,boost_note
Category_Master,USED,DIRECT,HIGH,1,0,1,youtube/models.py,,USED,
SequelizeMeta,UNUSED,EXTERNAL_ETL,HIGH,0,0,0,,known external pipeline table,UNUSED,
YT_ads_yn,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_brand_bumper_cost_per_day,USED,DIRECT,HIGH,1,0,1,brand/models.py,,USED,
YT_brand_bumper_cost_per_day_old,UNUSED,ARCHIVE_SUFFIX,HIGH,0,0,0,,name suffix indicates archive/backup/test,UNUSED,
YT_brand_video_trend,USED,DIRECT,HIGH,1,0,1,ads/models.py,,USED,
YT_bumper_ad,USED,DIRECT,HIGH,3,1,34,ads/models.py | brand/views.py | search/utils.py,,USED,
YT_bumper_ad_analized,USED,DIRECT,HIGH,3,0,7,ads/models.py | ads/views.py,,USED,
YT_bumper_ad_global,USED,DIRECT,HIGH,1,0,1,ads/models.py,,USED,
YT_bumper_cost_per_day,USED,DIRECT,HIGH,1,0,1,ads/models.py,,USED,
YT_bumper_cost_per_week,USED,DIRECT,HIGH,1,0,1,ads/models.py,,USED,
YT_bumper_cpm_by_industry,USED,DIRECT,HIGH,1,0,1,ads/models.py,,USED,
YT_bumper_crawl_video_list,USED,DIRECT,HIGH,1,0,1,ads/models.py,,USED,
YT_bumper_crawl_waiting_list,USED,DIRECT,HIGH,1,0,1,ads/models.py,,USED,
YT_bumper_on_off,USED,DIRECT,HIGH,1,0,1,ads/models.py,,USED,
YT_bumper_scene,USED,DIRECT,HIGH,1,0,1,ads/models.py,,USED,
YT_bumper_video_trend,USED,DIRECT,HIGH,3,0,4,ads/models.py | ads/views.py | brand/views.py,,USED,
YT_campaign_video,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_campaign_video_result,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_channel_cate,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_channel_cate_game,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_channel_cost,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_channel_gender_ratio,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_channel_language_count,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_comment,USED,DIRECT,HIGH,1,0,1,youtube/models.py,,USED,
YT_comment_analysis,USED,DIRECT,HIGH,1,0,1,youtube/models.py,,USED,
YT_comment_scraped_test,UNUSED,ARCHIVE_SUFFIX,HIGH,0,0,0,,name suffix indicates archive/backup/test,UNUSED,
YT_comment_task_log,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_contact_management,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_country_info,USED,DIRECT,HIGH,1,0,1,youtube/models.py,,USED,
YT_crawl_channel_list,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_crawl_video_list,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_en_video_lists,USED,DIRECT,HIGH,1,0,1,youtube/models.py,,USED,
YT_hifen_score,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_missing_channel,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_processed_channels,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_processed_keywords,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_product_info,USED,DIRECT,HIGH,1,0,1,youtube_shopping/models.py,,USED,
YT_product_video,USED,DIRECT,HIGH,1,0,1,youtube_shopping/models.py,,USED,
YT_product_video_temp,UNUSED,ARCHIVE_SUFFIX,HIGH,0,0,0,,name suffix indicates archive/backup/test,UNUSED,
YT_searched_history,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_shopping_top_product,USED,DIRECT,HIGH,1,0,1,youtube_shopping/models.py,,USED,
YT_shopping_top_product_video,USED,DIRECT,HIGH,1,0,1,youtube_shopping/models.py,,USED,
YT_shorts_view_trend,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_sub_view_trend,USED,DIRECT,HIGH,1,0,1,youtube/models.py,,USED,
YT_sub_view_trend_latest,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_subscribers_growth_trend,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_tag_centrality,USED,DIRECT,HIGH,1,0,1,youtube/models.py,,USED,
YT_temporary_lists,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_temporary_lists_detail,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_topic_centrality,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_topic_centrality_global,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_topic_difficulty,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_topic_global,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_type_cate,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_ugwanggi_rising_star,USED,DIRECT,HIGH,1,0,1,trends/models.py,,USED,
YT_ugwanggi_shorts_trending,USED,DIRECT,HIGH,1,0,3,trends/models.py | trends/utils.py | trends/views.py,,USED,
