app,owned_count,consumed_count,owned_tables,consumed_tables
admin,10,1,appointment|foreign_channel_lists|foreign_video_lists|github_member|github_member_stat|github_repository|github_summary|github_sync_job|ugwanggi_datalab_admin_memo|ugwanggi_inquiry,brand
ads,18,2,YT_brand_video_trend|YT_bumper_ad|YT_bumper_ad_analized|YT_bumper_ad_global|YT_bumper_cost_per_day|YT_bumper_cost_per_week|YT_bumper_cpm_by_industry|YT_bumper_crawl_video_list|YT_bumper_crawl_waiting_list|YT_bumper_on_off|YT_bumper_scene|YT_bumper_video_trend|temp_ugwanggi_bumper_da|temp_ugwanggi_campaign_da|ugwanggi_display_ad|ugwanggi_display_ad_campaign|ugwanggi_display_ad_campaign_result|ugwanggi_keyword_request_da,brand|brand_logo
aichat,8,1,test_kakao_video_monitoring|test_kakao_video_topic|ugwanggi_ai_blog_video|ugwanggi_ai_chat_history|ugwanggi_ai_image_history|ugwanggi_generated_blog|ugwanggi_kakao_analysis|ugwanggi_kakao_video_split,brand
amore,1,2,ugwanggi_amore_campaign,brand|keywords
archive,5,1,ugwanggi_archive|ugwanggi_archive_group|ugwanggi_archive_spreadsheet_auth|ugwanggi_archive_spreadsheet_sheet|ugwanggi_docs_history,brand
brand,7,2,YT_brand_bumper_cost_per_day|brand|brand_logo|ingwanggi_brand_report_access|oliveyoung_brand|ugwanggi_brand_report_access|ugwanggi_brand_saved,YT_bumper_ad|YT_bumper_video_trend
creators_insights,0,1,,brand
express,32,3,ugwanggi_express_adslot_email_read_state|ugwanggi_express_adslot_price_view_state|ugwanggi_express_adslot_pricing|ugwanggi_express_adslot_ugwanggi_pick|ugwanggi_express_adslot_user_added_channels|ugwanggi_express_adslots|ugwanggi_express_applications|ugwanggi_express_applications_admin_check|ugwanggi_express_brand_campaign_ugwanggi_pick|ugwanggi_express_brand_campaign_view_state|ugwanggi_express_brand_campaigns|ugwanggi_express_brand_campaigns_ad_type|ugwanggi_express_brand_info|ugwanggi_express_brand_ugwanggi_pick|ugwanggi_express_chat_file_upload_quota|ugwanggi_express_chat_message|ugwanggi_express_chat_room|ugwanggi_express_chat_room_member|ugwanggi_express_email_message|ugwanggi_express_email_message_admin_check|ugwanggi_express_email_template|ugwanggi_express_oauth_state_session|ugwanggi_express_oauth_token|ugwanggi_express_request_campaign_view|ugwanggi_express_request_chat|ugwanggi_express_request_messages|ugwanggi_express_request_status|ugwanggi_express_studio_channels|ugwanggi_express_studio_info|ugwanggi_express_studio_members|ugwanggi_express_ticket_refresh|ugwanggi_express_users_brand,brand|campaigns|youtuber_stats
instagram,37,2,ingwanggi_creator_listup_filters|ingwanggi_related_account_access|ingwanggi_similar_creator_access|ingwanggi_top_cache|instagram_accounts|instagram_brand|instagram_creator_ranking_llm_usage_log|instagram_creator_ranking_preset_keywords|instagram_creator_ranking_presets|instagram_creator_ranking_presets_admin|instagram_creator_ranking_presets_admin_v2|instagram_creator_ranking_ticket_usages|instagram_hashtag|instagram_post|instagram_post_description|instagram_post_stat_trend|instagram_ppl_brand|instagram_sponsoring_brand|instagram_user|instagram_user_analysis|instagram_user_analysis_categories|instagram_user_analysis_mood|instagram_user_analysis_topic|instagram_user_analysis_v2|instagram_user_analysis_v2_layer1_user_type|instagram_user_analysis_v2_layer2_content_function|instagram_user_analysis_v2_layer3_topic|instagram_user_analysis_v2_layer4_mood|instagram_user_analysis_v2_layer5_persona|instagram_user_analysis_v2_layer6_audience|instagram_user_analysis_v2_layer6_target_country|instagram_user_benchmark|instagram_user_brand_safety|instagram_user_stat|instagram_user_stat_trend|instagram_user_tag|ugwanggi_ig_creator_saved,brand|brand_logo
instagram_admin,5,7,instagram_brand_exclusion_keyword|instagram_post_analysis_llm_log|instagram_ppl_brand|instagram_user|temp_instagram_crawl_channel,brand|brand_logo|instagram_brand_matching_track|instagram_hashtag|instagram_post|instagram_post_description|instagram_post_stat_trend
keywords,0,1,,keywords
monitoring,3,1,ugwanggi_monitoring_campaign|ugwanggi_monitoring_entity|ugwanggi_monitoring_result,brand
oliveyoung,15,1,instagram_oliveyoung_product_post|oliveyoung_brand_score|oliveyoung_brand_top_product_count|oliveyoung_product_agg_rank_daily|oliveyoung_product_info|oliveyoung_product_review|oliveyoung_product_score|oliveyoung_product_video|oliveyoung_product_views2|oliveyoung_realtime_views|oliveyoung_trend_m|oliveyoung_trend_m_rank|oliveyoung_video_data|oliveyoung_video_lists|oliveyoung_youtube_product_agg_daily,brand
partner,18,1,ugwanggi_creator_listup_filter|ugwanggi_partner_creator_bookmark|ugwanggi_partner_creator_bookmark_folder|ugwanggi_partner_datalab|ugwanggi_partner_datalab_file|ugwanggi_partner_datalab_message|ugwanggi_partner_team|ugwanggi_partner_team_brand|ugwanggi_partner_team_link|ugwanggi_partner_team_tag|ugwanggi_partners|ugwanggi_public_tracked_ad_folder|ugwanggi_tracked_ad|ugwanggi_tracked_ad_comment|ugwanggi_tracked_ad_folder|ugwanggi_tracked_ad_folder_keyword|ugwanggi_tracked_ad_folder_stat|ugwanggi_tracked_ad_stat,brand
partner_admin,0,1,,brand
partner_instagram,2,0,ingwanggi_partner_creator_bookmark|ingwanggi_partner_creator_bookmark_folder,
preview,0,1,,brand
search,16,5,naver_weekly_trend_categories|naver_weekly_trend_rank|ugwanggi_keyword_chat_history|ugwanggi_keywords_bench|ugwanggi_keywords_comp|ugwanggi_keywords_history|ugwanggi_keywords_interest|ugwanggi_keywords_result|ugwanggi_keywords_search|ugwanggi_keywords_text|ugwanggi_related_keywords|ugwanggi_search_history|ugwanggi_server_used|ugwanggi_user_search_history|ugwanggi_youtube_searched_channel|ugwanggi_youtube_searched_video,YT_bumper_ad|YT_video_lists|brand|brand_logo|youtuber_info
subscribe,11,0,ugwanggi_bundle|ugwanggi_cancel_survey|ugwanggi_custom_coupon|ugwanggi_custom_coupon_settings|ugwanggi_custom_coupon_settings2|ugwanggi_custom_payment|ugwanggi_free_trial_phone|ugwanggi_mrr|ugwanggi_payment_card|ugwanggi_payment_history|ugwanggi_subscription,
survey,7,0,survey_beta_result|ugwanggi_ai_survey|ugwanggi_channel_survey|ugwanggi_contact_us|ugwanggi_pricing_survey|ugwanggi_survey|ugwanggi_trial_survey,
tiktok,4,0,tiktok_channel|tiktok_channel_stat|tiktok_video|tiktok_video_stat,
trends,11,1,YT_ugwanggi_rising_star|YT_ugwanggi_shorts_trending|YT_ugwanggi_trending_insight_daily_action|YT_ugwanggi_trending_insight_daily_category_and_format|YT_ugwanggi_trending_insight_daily_chance|YT_ugwanggi_trending_insight_daily_chance_and_risk_title|YT_ugwanggi_trending_insight_daily_risk|YT_ugwanggi_trending_insight_daily_summary|YT_ugwanggi_trending_keyword|YT_ugwanggi_trending_keyword_video_ids|YT_ugwanggi_video_trending,brand
ugwanggiAPI,0,2,,YT_video_lists|brand
user,7,0,ugwanggi_action_tracker|ugwanggi_delete_survey|ugwanggi_linked_user|ugwanggi_page_usage_duration|ugwanggi_phone_verification|ugwanggi_user_creator_db_request|users_ugwanggi,
youtube,28,1,Category_Master|YT_comment|YT_comment_analysis|YT_country_info|YT_en_video_lists|YT_sub_view_trend|YT_tag_centrality|YT_video_content_class_track|YT_video_crawling_waiting|YT_video_format|YT_video_lists|YT_video_lists_detail|YT_video_trending|YT_video_trending_duration|YT_video_trending_sub|YT_video_view_trend|demography|saved_youtuber_brand_folders|subs_milestone|ugwanggi_channel_demography_info_access|ugwanggi_creator_camp_list|ugwanggi_creator_listup|ugwanggi_creator_listup_ai_chat|ugwanggi_report_history|ugwanggi_youtuber_saved|youtuber_category_class|youtuber_info|youtuber_stats,brand
youtube_shopping,4,0,YT_product_info|YT_product_video|YT_shopping_top_product|YT_shopping_top_product_video,
